Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.591337,-4.9107,0,0.00845378,0.999985,-0.00142317,0
0.591121,-4.43914,0,0.00678297,0.999559,-0.000834289,0
0.590924,-4.01045,0,0.00841346,0.999208,-0.00131871,0
0.590745,-3.62073,0,0.00859765,0.997926,-0.00140297,0
0.590583,-3.26644,0,0.00927913,0.997249,-0.00157061,0
0.590435,-2.94436,0,0.00978826,0.996069,-0.00180872,0
0.590301,-2.65156,0,0.0105292,0.994967,-0.00200439,0
0.590179,-2.38537,0,0.0110525,0.993897,-0.00221465,0
0.590068,-2.14339,0,0.0118309,0.992751,-0.00244708,0
0.589967,-1.9234,0,0.0124513,0.991702,-0.00266489,0
0.589875,-1.72342,0,0.0131648,0.990697,-0.00290057,0
0.589792,-1.54161,0,0.0138141,0.989783,-0.00313319,0
0.589716,-1.37633,0,0.0144255,0.988996,-0.0033671,0
0.589647,-1.22608,0,0.0149545,0.988382,-0.0035964,0
0.589584,-1.08948,0,0.0153615,0.987948,-0.00381257,0
0.589527,-0.965307,0,0.0155949,0.98782,-0.00400836,0
0.589476,-0.85242,0,0.0156148,0.987929,-0.00416828,0
0.589429,-0.749795,0,0.015337,0.988503,-0.00428521,0
0.589386,-0.656499,0,0.0147286,0.989397,-0.00434277,0
0.589347,-0.571685,0,0.0137352,0.990806,-0.00432531,0
0.589312,-0.494581,0,0.0123011,0.992558,-0.00423691,0
0.589279,-0.424487,0,0.0103003,0.995161,-0.00411567,0
0.58925,-0.360765,0,0.00807156,0.996319,-0.00386596,0
0.612245,-6,0,0.00852131,1,0,0
0.611995,-5.42945,0,0.00375572,1.00101,-0.000407104,0
0.611769,-4.91077,0,0.00844732,0.99999,-0.00146487,0
0.611563,-4.43924,0,0.0067928,0.999549,-0.000858351,0
0.611375,-4.01057,0,0.00838929,0.999232,-0.00134152,0
0.611205,-3.62088,0,0.00859542,0.997928,-0.00143597,0
0.61105,-3.26661,0,0.00926296,0.997264,-0.00160248,0
0.610909,-2.94455,0,0.00977107,0.996085,-0.00184654,0
0.610781,-2.65177,0,0.010511,0.994982,-0.00204772,0
0.610665,-2.3856,0,0.0110293,0.993917,-0.00226262,0
0.610559,-2.14363,0,0.0118044,0.992772,-0.00250046,0
0.610463,-1.92366,0,0.0124215,0.991726,-0.0027223,0
0.610376,-1.72369,0,0.01313,0.990724,-0.00296008,0
0.610296,-1.54189,0,0.0137757,0.989811,-0.0031917,0
0.610224,-1.37662,0,0.014383,0.989027,-0.00341939,0
0.610158,-1.22638,0,0.0149096,0.988414,-0.00363491,0
0.610099,-1.08979,0,0.0153161,0.987979,-0.00382642,0
0.610044,-0.965626,0,0.0155532,0.987847,-0.0039825,0
0.609995,-0.852746,0,0.0155824,0.987948,-0.00408314,0
0.60995,-0.750127,0,0.0153218,0.98851,-0.00411657,0
0.609909,-0.656838,0,0.0147426,0.989383,-0.0040613,0
0.609872,-0.572029,0,0.0137911,0.990765,-0.0038989,0
0.609839,-0.49493,0,0.0124029,0.992491,-0.00363542,0
0.609808,-0.42484,0,0.0104721,0.995066,-0.00330777,0
0.60978,-0.361122,0,0.00831796,0.996165,-0.00282481,0
0.632653,-6,0,0.00852738,1,0,0
0.632416,-5.42949,0,0.00371416,1.00105,-0.00041769,0
0.6322,-4.91084,0,0.00844043,0.999995,-0.00150699,0
0.632005,-4.43934,0,0.00680348,0.999538,-0.000882305,0
0.631826,-4.0107,0,0.00836466,0.999257,-0.00136395,0
0.631664,-3.62103,0,0.00859291,0.997929,-0.00146893,0
0.631517,-3.26679,0,0.0092467,0.997279,-0.00163414,0
0.631383,-2.94475,0,0.00975335,0.996101,-0.00188402,0
0.631262,-2.65198,0,0.0104923,0.994998,-0.00209067,0
0.631151,-2.38583,0,0.0110054,0.993937,-0.00231003,0
0.631051,-2.14388,0,0.0117772,0.992794,-0.00255311,0
0.630959,-1.92392,0,0.0123911,0.991749,-0.00277878,0
0.630876,-1.72396,0,0.0130947,0.990751,-0.00301841,0
0.630801,-1.54217,0,0.0137371,0.98984,-0.00324879,0
0.630732,-1.37692,0,0.014341,0.989057,-0.00347008,0
0.630669,-1.22668,0,0.0148662,0.988443,-0.0036718,0
0.630613,-1.09011,0,0.0152741,0.988005,-0.00383886,0
0.630561,-0.965945,0,0.0155175,0.987866,-0.00395584,0
0.630514,-0.853072,0,0.0155601,0.987954,-0.00399826,0
0.630472,-0.75046,0,0.0153224,0.988496,-0.00394967,0
0.630433,-0.657176,0,0.0147805,0.98934,-0.00378339,0
0.630398,-0.572373,0,0.0138805,0.990683,-0.00347833,0
0.630365,-0.495279,0,0.0125505,0.992372,-0.00304219,0
0.630336,-0.425194,0,0.010705,0.994903,-0.00250926,0
0.63031,-0.36148,0,0.00863901,0.995931,-0.00179204,0
0.653061,-6,0,0.00853269,1,0,0
0.652836,-5.42952,0,0.00367168,1.0011,-0.000428454,0
0.652632,-4.9109,0,0.00843311,1,-0.00154952,0
0.652446,-4.43943,0,0.00681505,0.999526,-0.000906307,0
0.652277,-4.01083,0,0.00833955,0.999282,-0.00138603,0
0.652124,-3.62118,0,0.00859013,0.997931,-0.0015019,0
0.651984,-3.26696,0,0.00923037,0.997294,-0.00166569,0
0.651858,-2.94494,0,0.00973508,0.996117,-0.00192123,0
0.651742,-2.65219,0,0.0104732,0.995013,-0.00213339,0
