Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
-2.87189,1.06748,0,1,0,0
-2.93925,0.86492,0,1,0,0
-2.98987,0.669271,0,1,0,0
-3.0262,0.478904,0,1,0,0
-3.04989,0.292243,0,1,0,0
-3.06197,0.107762,0,1,0,0
-3.06292,-0.0760346,0,1,0,0
-3.05276,-0.260631,0,1,0,0
-3.031,-0.447527,0,1,0,0
-2.99665,-0.63826,0,1,0,0
-2.94805,-0.834423,0,1,0,0
-2.88279,-1.03767,0,1,0,0
-2.79742,-1.24968,0,1,0,0
-2.68704,-1.4721,0,1,0,0
-2.54475,-1.70631,0,1,0,0
-2.36071,-1.95303,0,1,0,0
-2.12073,-2.21128,0,1,0,0
-1.80409,-2.47639,0,1,0,0
-1.38026,-2.73535,0,1,0,0
-0.804647,-2.95632,0,1,0,0
-0.0158708,-3.06382,0,1,0,0
0.0173916,2.78247,0,1,0,0
-0.700025,2.69303,0,1,0,0
-1.22504,2.49834,0,1,0,0
-1.61261,2.26758,0,1,0,0
-1.90291,2.03011,0,1,0,0
-2.12352,1.79808,0,1,0,0
-2.29321,1.57594,0,1,0,0
-2.42486,1.36473,0,1,0,0
-2.52741,1.16389,0,1,0,0
-2.60714,0.972246,0,1,0,0
-2.66851,0.788355,0,1,0,0
-2.71467,0.610721,0,1,0,0
-2.74785,0.43787,0,1,0,0
-2.76955,0.268372,0,1,0,0
-2.78069,0.100843,0,1,0,0
-2.78174,-0.0660754,0,1,0,0
-2.77269,-0.233731,0,1,0,0
-2.75311,-0.403486,0,1,0,0
-2.7221,-0.576739,0,1,0,0
-2.67815,-0.754936,0,1,0,0
-2.61909,-0.93958,0,1,0,0
-2.54176,-1.13221,0,1,0,0
-2.44173,-1.33431,0,1,0,0
-2.31273,-1.54716,0,1,0,0
-2.14583,-1.77139,0,1,0,0
-1.92814,-2.00617,0,1,0,0
-1.64083,-2.24724,0,1,0,0
-1.25618,-2.48283,0,1,0,0
-0.733634,-2.68407,0,1,0,0
-0.0173916,-2.78247,0,1,0,0
0.0187741,2.52669,0,1,0,0
-0.632795,2.44624,0,1,0,0
-1.10976,2.27001,0,1,0,0
-1.46196,2.06088,0,1,0,0
-1.72583,1.84555,0,1,0,0
-1.92641,1.63508,0,1,0,0
-2.08074,1.43354,0,1,0,0
-2.20051,1.24188,0,1,0,0
-2.29385,1.05962,0,1,0,0
-2.36645,0.885673,0,1,0,0
-2.42238,0.71875,0,1,0,0
-2.46449,0.557493,0,1,0,0
-2.49481,0.400566,0,1,0,0
-2.51469,0.246671,0,1,0,0
-2.52499,0.0945529,0,1,0,0
-2.52612,-0.0570216,0,1,0,0
-2.51808,-0.209276,0,1,0,0
-2.50049,-0.363449,0,1,0,0
-2.47251,-0.52081,0,1,0,0
-2.43279,-0.682675,0,1,0,0
-2.37935,-0.85041,0,1,0,0
-2.30934,-1.02541,0,1,0,0
-2.21872,-1.20905,0,1,0,0
-2.10181,-1.40247,0,1,0,0
-1.95049,-1.60627,0,1,0,0
-1.75306,-1.8197,0,1,0,0
-1.49242,-2.03892,0,1,0,0
-1.14337,-2.25327,0,1,0,0
-0.669075,-2.43657,0,1,0,0
-0.0187741,-2.52669,0,1,0,0
0.0200309,2.29417,0,1,0,0
-0.571677,2.22189,0,1,0,0
-1.00496,2.06244,0,1,0,0
-1.325,1.87296,0,1,0,0
-1.56484,1.67776,0,1,0,0
-1.74721,1.4869,0,1,0,0
-1.88758,1.30409,0,1,0,0
-1.99656,1.13021,0,1,0,0
-2.08152,0.964822,0,1,0,0
-2.14765,0.80697,0,1,0,0
-2.19863,0.655473,0,1,0,0
-2.23706,0.509105,0,1,0,0
-2.26477,0.366653,0,1,0,0
-2.283,0.226943,0,1,0,0
-2.29253,0.0888347,0,1,0,0
-2.29374,-0.0487908,0,1,0,0
-2.28662,-0.187045,0,1,0,0
-2.27082,-0.327052,0,1,0,0
-2.2456,-0.469965,0,1,0,0
-2.20974,-0.616983,0,1,0,0
-2.16141,-0.769347,0,1,0,0
-2.09805,-0.928329,0,1,0,0
-2.01599,-1.09517,0,1,0,0
-1.91006,-1.27093,0,1,0,0
-1.77291,-1.45616,0,1,0,0
-1.5939,-1.65018,0,1,0,0
-1.3575,-1.84954,0,1,0,0
-1.04082,-2.04458,0,1,0,0
-0.610386,-2.21157,0,1,0,0
-0.0200309,-2.29417,0,1,0,0
0.0211735,2.08278,0,1,0,0
-0.516115,2.01793,0,1,0,0
-0.90969,1.87374,0,1,0,0
-1.20049,1.70214,0,1,0,0
-1.41849,1.52523,0,1,0,0
-1.58431,1.35219,0,1,0,0
-1.71198,1.1864,0,1,0,0
-1.81115,1.02868,0,1,0,0
-1.8885,0.878645,0,1,0,0
-1.94874,0.735422,0,1,0,0
-1.99522,0.597949,0,1,0,0
-2.0303,0.465115,0,1,0,0
-2.05564,0.335824,0,1,0,0
-2.07238,0.209009,0,1,0,0
-2.08121,0.0836363,0,1,0,0
-2.08248,-0.0413083,0,1,0,0
-2.0762,-0.166834,0,1,0,0
-2.06204,-0.293963,0,1,0,0
-2.03933,-0.423743,0,1,0,0
-2.00696,-0.557263,0,1,0,0
-1.96329,-0.695652,0,1,0,0
-1.90597,-0.840071,0,1,0,0
-1.83168,-0.991648,0,1,0,0
-1.73575,-1.15135,0,1,0,0
-1.61147,-1.3197,0,1,0,0
-1.4492,-1.49608,0,1,0,0
-1.23484,-1.67738,0,1,0,0
-0.947595,-1.85486,0,1,0,0
-0.557032,-2.00702,0,1,0,0
-0.0211735,-2.08278,0,1,0,0
0.0222122,1.89061,0,1,0,0
-0.465604,1.83252,0,1,0,0
-0.823079,1.70219,0,1,0,0
-1.08729,1.54684,0,1,0,0
-1.28544,1.38656,0,1,0,0
-1.43621,1.22972,0,1,0,0
-1.55235,1.07942,0,1,0,0
-1.64259,0.936387,0,1,0,0
-1.71302,0.800303,0,1,0,0
-1.76791,0.670378,0,1,0,0
-1.8103,0.545654,0,1,0,0
-1.84233,0.425124,0,1,0,0
-1.86552,0.307797,0,1,0,0
-1.8809,0.192705,0,1,0,0
-1.8891,0.0789106,0,1,0,0
-1.89043,-0.0345061,0,1,0,0
-1.88491,-0.148461,0,1,0,0
-1.87224,-0.263883,0,1,0,0
-1.85181,-0.381723,0,1,0,0
-1.82262,-0.502972,0,1,0,0
-1.78317,-0.628658,0,1,0,0
-1.73135,-0.759836,0,1,0,0
-1.66413,-0.897537,0,1,0,0
-1.57728,-1.04265,0,1,0,0
-1.46471,-1.19564,0,1,0,0
-1.31766,-1.35598,0,1,0,0
-1.12334,-1.52087,0,1,0,0
-0.862843,-1.68238,0,1,0,0
-0.508529,-1.82107,0,1,0,0
-0.0222122,-1.89061,0,1,0,0
0.0231565,1.71592,0,1,0,0
-0.419685,1.66396,0,1,0,0
-0.744342,1.54624,0,1,0,0
-0.984394,1.40566,0,1,0,0
-1.16449,1.2605,0,1,0,0
-1.30158,1.11839,0,1,0,0
-1.40722,0.982155,0,1,0,0
-1.48935,0.852482,0,1,0,0
-1.55349,0.729082,0,1,0,0
-1.60352,0.611248,0,1,0,0
-1.64219,0.498113,0,1,0,0
-1.67145,0.388769,0,1,0,0
-1.69269,0.282318,0,1,0,0
-1.70683,0.177883,0,1,0,0
-1.71445,0.0746144,0,1,0,0
-1.71584,-0.0283222,0,1,0,0
-1.71101,-0.131759,0,1,0,0
-1.69969,-0.236537,0,1,0,0
-1.68134,-0.343523,0,1,0,0
-1.65503,-0.453616,0,1,0,0
-1.61943,-0.567753,0,1,0,0
-1.5726,-0.686895,0,1,0,0
-1.51182,-0.811981,0,1,0,0
-1.43321,-0.943823,0,1,0,0
-1.33128,-1.08286,0,1,0,0
-1.19808,-1.22862,0,1,0,0
-1.02197,-1.37858,0,1,0,0
-0.785796,-1.52559,0,1,0,0
-0.464435,-1.65203,0,1,0,0
-0.0231565,-1.71592,0,1,0,0
0.024015,1.5571,0,1,0,0
-0.377941,1.51073,0,1,0,0
-0.672762,1.40447,0,1,0,0
-0.890848,1.27731,0,1,0,0
-1.05453,1.1459,0,1,0,0
-1.17918,1.01718,0,1,0,0
-1.27529,0.893736,0,1,0,0
-1.35005,0.776206,0,1,0,0
-1.40847,0.664336,0,1,0,0
-1.45408,0.557492,0,1,0,0
-1.48936,0.454894,0,1,0,0
-1.51611,0.355719,0,1,0,0
-1.53557,0.259155,0,1,0,0
-1.54858,0.164408,0,1,0,0
-1.55568,0.0707088,0,1,0,0
-1.55712,-0.0227004,0,1,0,0
-1.55291,-0.116574,0,1,0,0
-1.54283,-0.211677,0,1,0,0
-1.52636,-0.308795,0,1,0,0
-1.50268,-0.408748,0,1,0,0
-1.47058,-0.512386,0,1,0,0
-1.42829,-0.620585,0,1,0,0
-1.37335,-0.734203,0,1,0,0
-1.30225,-0.853983,0,1,0,0
-1.20999,-0.980332,0,1,0,0
-1.08937,-1.11284,0,1,0,0
-0.929814,-1.24923,0,1,0,0
-0.715754,-1.38305,0,1,0,0
-0.424349,-1.49835,0,1,0,0
-0.024015,-1.5571,0,1,0,0
0.0247954,1.41272,0,1,0,0
-0.339991,1.37142,0,1,0,0
-0.60769,1.27558,0,1,0,0
-0.805806,1.16063,0,1,0,0
-0.95457,1.04172,0,1,0,0
-1.06792,0.925171,0,1,0,0
-1.15535,0.813355,0,1,0,0
-1.22341,0.706863,0,1,0,0
-1.27663,0.605476,0,1,0,0
-1.31822,0.508624,0,1,0,0
-1.35043,0.415604,0,1,0,0
-1.37489,0.325674,0,1,0,0
-1.39273,0.238098,0,1,0,0
-1.40472,0.152159,0,1,0,0
-1.41134,0.0671583,0,1,0,0
-1.41283,-0.0175898,0,1,0,0
-1.40919,-0.10277,0,1,0,0
-1.40023,-0.189077,0,1,0,0
-1.38547,-0.277225,0,1,0,0
-1.36418,-0.367958,0,1,0,0
-1.33525,-0.462052,0,1,0,0
-1.29709,-0.560303,0,1,0,0
-1.24746,-0.663495,0,1,0,0
-1.18319,-0.77231,0,1,0,0
-1.09973,-0.887126,0,1,0,0
-0.990539,-1.00758,0,1,0,0
-0.846039,-1.13164,0,1,0,0
-0.652078,-1.25347,0,1,0,0
-0.387908,-1.35865,0,1,0,0
-0.0247954,-1.41272,0,1,0,0
0.0255048,1.28147,0,1,0,0
-0.305492,1.24478,0,1,0,0
