Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.425557,-1.22366,0,1.10886,0.989526,-0.00731365,0
0.425471,-1.08699,0,1.10917,0.990039,-0.00828449,0
0.425393,-0.962756,0,1.10837,0.990865,-0.00922526,0
0.425322,-0.849811,0,1.10772,0.991959,-0.0102134,0
0.425257,-0.747134,0,1.10655,0.993515,-0.0112072,0
0.425198,-0.653791,0,1.10505,0.995508,-0.0122199,0
0.425144,-0.568934,0,1.10312,0.998053,-0.0132292,0
0.425096,-0.491791,0,1.10069,1.00119,-0.0142269,0
0.425051,-0.421661,0,1.09778,1.00486,-0.0152079,0
0.425011,-0.357907,0,1.09444,1.00764,-0.0161174,0
0.44898,-6,0,1.27416,0.999,0,0
0.448632,-5.42916,0,0.890246,1.06303,-0.0141648,0
0.448315,-4.91021,0,1.2586,1.01076,-0.0353482,0
0.448028,-4.43845,0,0.973199,1.01937,0.00826916,0
0.447766,-4.00957,0,1.19558,0.991529,-0.00964444,0
0.447529,-3.61967,0,1.03833,0.987906,0.00810252,0
0.447313,-3.26523,0,1.14693,0.990835,-0.0038625,0
0.447116,-2.943,0,1.07473,0.988004,0.00173229,0
0.446938,-2.65007,0,1.12223,0.990552,-0.00332055,0
0.446776,-2.38377,0,1.09265,0.988732,-0.00147812,0
0.446628,-2.14168,0,1.11161,0.989817,-0.00375273,0
0.446494,-1.9216,0,1.10068,0.988927,-0.00366752,0
0.446372,-1.72152,0,1.10752,0.989219,-0.00492258,0
0.446261,-1.53963,0,1.10385,0.989086,-0.00547473,0
0.44616,-1.37428,0,1.10599,0.98931,-0.00647623,0
0.446069,-1.22396,0,1.10474,0.989652,-0.00728786,0
0.445985,-1.08731,0,1.10502,0.990185,-0.00822745,0
0.44591,-0.963075,0,1.10421,0.991025,-0.00912225,0
0.445841,-0.850137,0,1.10353,0.992136,-0.0100425,0
0.445778,-0.747466,0,1.10234,0.993707,-0.0109417,0
0.445721,-0.65413,0,1.10081,0.995716,-0.0118261,0
0.44567,-0.569278,0,1.09885,0.998271,-0.0126692,0
0.445623,-0.49214,0,1.0964,1.00142,-0.0134638,0
0.44558,-0.422015,0,1.09348,1.0051,-0.0142098,0
0.445541,-0.358264,0,1.09015,1.00787,-0.0148598,0
0.469388,-6,0,1.27158,0.999,0,0
0.469052,-5.4292,0,0.885973,1.06437,-0.0144262,0
0.468747,-4.91028,0,1.25498,1.00974,-0.0361721,0
0.46847,-4.43854,0,0.969388,1.01882,0.00843858,0
0.468218,-4.00969,0,1.19089,0.991673,-0.009467,0
0.467988,-3.61982,0,1.03475,0.98763,0.00803523,0
0.46778,-3.2654,0,1.14246,0.991161,-0.00387426,0
0.46759,-2.9432,0,1.07097,0.987899,0.0016966,0
0.467418,-2.65028,0,1.11794,0.990723,-0.00334231,0
0.467262,-2.384,0,1.08872,0.988714,-0.00153218,0
0.467119,-2.14192,0,1.10743,0.989934,-0.00377437,0
0.46699,-1.92185,0,1.09664,0.988973,-0.00369087,0
0.466872,-1.72179,0,1.10339,0.989319,-0.00493431,0
0.466765,-1.53992,0,1.09977,0.989176,-0.00548041,0
0.466668,-1.37457,0,1.10186,0.989426,-0.00646699,0
0.46658,-1.22426,0,1.10062,0.989775,-0.00726045,0
0.466499,-1.08762,0,1.10087,0.990324,-0.00816904,0
0.466426,-0.963394,0,1.10005,0.991175,-0.0090182,0
0.46636,-0.850463,0,1.09935,0.992298,-0.00987109,0
0.4663,-0.747799,0,1.09814,0.993877,-0.0106763,0
0.466245,-0.654468,0,1.0966,0.995891,-0.0114336,0
0.466195,-0.569622,0,1.09463,0.998443,-0.0121126,0
0.46615,-0.492489,0,1.09217,1.00159,-0.0127075,0
0.466108,-0.422368,0,1.08925,1.00526,-0.0132219,0
0.466071,-0.358621,0,1.08594,1.00801,-0.0136153,0
0.489796,-6,0,1.26897,0.999,0,0
0.489473,-5.42923,0,0.881687,1.06574,-0.0146832,0
0.489179,-4.91035,0,1.25135,1.00871,-0.0369773,0
0.488912,-4.43864,0,0.9656,1.01822,0.00861752,0
0.488669,-4.00982,0,1.18619,0.991835,-0.0092875,0
0.488448,-3.61998,0,1.03117,0.987356,0.00796326,0
0.488247,-3.26557,0,1.13799,0.991485,-0.00389229,0
0.488065,-2.94339,0,1.06721,0.987794,0.00165714,0
0.487899,-2.6505,0,1.11365,0.990896,-0.00336482,0
0.487748,-2.38423,0,1.08479,0.988696,-0.00158784,0
0.487611,-2.14217,0,1.10325,0.990049,-0.003797,0
0.487486,-1.92211,0,1.09261,0.989019,-0.00371405,0
0.487373,-1.72206,0,1.09925,0.989419,-0.00494593,0
0.48727,-1.5402,0,1.09568,0.989264,-0.00548598,0
0.487176,-1.37487,0,1.09773,0.989541,-0.00645751,0
0.487091,-1.22457,0,1.0965,0.989895,-0.00723277,0
0.487014,-1.08793,0,1.09673,0.990458,-0.00811067,0
0.486943,-0.963713,0,1.09591,0.991316,-0.00891483,0
0.486879,-0.850789,0,1.09519,0.992444,-0.00970144,0
0.486821,-0.748132,0,1.09397,0.994024,-0.0104143,0
0.486768,-0.654807,0,1.09242,0.996032,-0.0110467,0
0.48672,-0.569966,0,1.09045,0.998569,-0.0115647,0
0.486677,-0.492837,0,1.08799,1.0017,-0.0119638,0
0.486637,-0.422721,0,1.08509,1.00535,-0.0122503,0
0.486601,-0.358979,0,1.08181,1.00806,-0.0123897,0
0.510204,-6,0,1.26633,0.999,0,0
