Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.529571,-4.01007,0,1.12087,0.79847,-0.00437999,0
0.529367,-3.62028,0,1.0492,0.79614,0.00187156,0
0.529181,-3.26592,0,1.10073,0.798079,-0.00314031,0
0.529013,-2.94378,0,1.06578,0.796938,-0.000292465,0
0.52886,-2.65092,0,1.0899,0.798016,-0.00255288,0
0.52872,-2.38469,0,1.07451,0.797441,-0.00162777,0
0.528594,-2.14266,0,1.08483,0.798084,-0.00274825,0
0.528478,-1.92263,0,1.0787,0.798098,-0.00270756,0
0.528374,-1.7226,0,1.08269,0.798567,-0.00345946,0
0.528279,-1.54076,0,1.0805,0.798971,-0.00383626,0
0.528192,-1.37545,0,1.08178,0.799548,-0.00450087,0
0.528113,-1.22517,0,1.08098,0.800261,-0.00507702,0
0.528042,-1.08855,0,1.08112,0.801111,-0.00575499,0
0.527977,-0.964351,0,1.08057,0.802182,-0.00641762,0
0.527918,-0.851441,0,1.08009,0.803438,-0.00709846,0
0.527864,-0.748797,0,1.07928,0.804987,-0.00775099,0
0.527815,-0.655484,0,1.07825,0.806772,-0.00835823,0
0.527771,-0.570653,0,1.07696,0.808857,-0.00888251,0
0.527731,-0.493535,0,1.07535,0.811208,-0.00930613,0
0.527694,-0.423427,0,1.07348,0.813749,-0.00961559,0
0.527661,-0.359693,0,1.07136,0.815381,-0.00977633,0
0.55102,-6,0,1.15402,0.8,0,0
0.550734,-5.42934,0,0.978037,0.838547,-0.00688571,0
0.550474,-4.91056,0,1.14547,0.798213,-0.0175973,0
0.550237,-4.43894,0,1.01575,0.80217,0.00361245,0
0.550022,-4.0102,0,1.11661,0.7986,-0.00440167,0
0.549826,-3.62043,0,1.04531,0.796065,0.00183712,0
0.549649,-3.26609,0,1.09654,0.79818,-0.00317305,0
0.549487,-2.94397,0,1.06183,0.79689,-0.000321461,0
0.54934,-2.65113,0,1.08576,0.798083,-0.0025537,0
0.549206,-2.38492,0,1.07051,0.797438,-0.00163113,0
0.549085,-2.1429,0,1.08073,0.798136,-0.00273791,0
0.548975,-1.92289,0,1.07466,0.79813,-0.00268857,0
0.548874,-1.72287,0,1.0786,0.798627,-0.00342483,0
0.548783,-1.54104,0,1.07643,0.79903,-0.00378707,0
0.5487,-1.37575,0,1.07769,0.799626,-0.00443014,0
0.548625,-1.22547,0,1.0769,0.800348,-0.00497928,0
0.548556,-1.08886,0,1.07703,0.801211,-0.00562036,0
0.548494,-0.964669,0,1.07648,0.802291,-0.00623485,0
0.548437,-0.851768,0,1.07599,0.803555,-0.00685236,0
0.548386,-0.74913,0,1.07519,0.805105,-0.00742369,0
0.548339,-0.655822,0,1.07417,0.806883,-0.00792905,0
0.548296,-0.570997,0,1.0729,0.808951,-0.0083302,0
0.548258,-0.493884,0,1.07131,0.811279,-0.00861159,0
0.548222,-0.423781,0,1.06948,0.813785,-0.00876117,0
0.54819,-0.36005,0,1.06739,0.815374,-0.00874825,0
0.571429,-6,0,1.14999,0.8,0,0
0.571155,-5.42938,0,0.974362,0.839198,-0.00690128,0
0.570905,-4.91063,0,1.1413,0.797751,-0.0176941,0
0.570679,-4.43904,0,1.01188,0.801854,0.00351131,0
0.570473,-4.01032,0,1.11234,0.798728,-0.00442996,0
0.570286,-3.62058,0,1.04142,0.795991,0.00180205,0
0.570116,-3.26627,0,1.09235,0.79828,-0.00320416,0
0.569961,-2.94416,0,1.05788,0.79684,-0.000350767,0
0.56982,-2.65134,0,1.08163,0.798149,-0.00255405,0
0.569693,-2.38515,0,1.0665,0.797434,-0.00163312,0
0.569576,-2.14315,0,1.07662,0.798188,-0.00272606,0
0.569471,-1.92315,0,1.07061,0.79816,-0.00266802,0
0.569375,-1.72315,0,1.07451,0.798685,-0.00338839,0
0.569287,-1.54133,0,1.07236,0.799088,-0.00373579,0
0.569208,-1.37604,0,1.07361,0.7997,-0.00435713,0
0.569136,-1.22578,0,1.07282,0.80043,-0.00487912,0
0.56907,-1.08917,0,1.07294,0.801304,-0.00548332,0
0.569011,-0.964988,0,1.07239,0.80239,-0.00604996,0
0.568956,-0.852094,0,1.07191,0.803658,-0.00660504,0
0.568907,-0.749462,0,1.07112,0.805204,-0.00709686,0
0.568862,-0.656161,0,1.07011,0.806969,-0.00750297,0
0.568822,-0.571341,0,1.06887,0.809012,-0.00778458,0
0.568785,-0.494233,0,1.06731,0.811309,-0.00792782,0
0.568751,-0.424134,0,1.06552,0.81377,-0.00792138,0
0.56872,-0.360408,0,1.06347,0.815308,-0.00773855,0
0.591837,-6,0,1.14592,0.8,0,0
0.591575,-5.42941,0,0.970686,0.839852,-0.00691254,0
0.591337,-4.9107,0,1.13712,0.797292,-0.0177758,0
0.591121,-4.43914,0,1.00803,0.801535,0.00341285,0
0.590924,-4.01045,0,1.10807,0.798854,-0.00446471,0
0.590745,-3.62073,0,1.03752,0.795917,0.00176625,0
0.590583,-3.26644,0,1.08817,0.79838,-0.00323355,0
0.590435,-2.94436,0,1.05393,0.796788,-0.00038036,0
0.590301,-2.65156,0,1.07749,0.798214,-0.0025541,0
0.590179,-2.38537,0,1.06249,0.79743,-0.00163392,0
0.590068,-2.14339,0,1.07252,0.798238,-0.00271281,0
0.589967,-1.9234,0,1.06657,0.798189,-0.00264603,0
0.589875,-1.72342,0,1.07042,0.798742,-0.00335027,0
0.589792,-1.54161,0,1.0683,0.799144,-0.00368259,0
0.589716,-1.37633,0,1.06952,0.799772,-0.00428206,0
0.589647,-1.22608,0,1.06874,0.800507,-0.00477685,0
0.589584,-1.08948,0,1.06886,0.80139,-0.00534422,0
0.589527,-0.965307,0,1.06831,0.802481,-0.00586327,0
0.589476,-0.85242,0,1.06784,0.803748,-0.0063566,0
0.589429,-0.749795,0,1.06706,0.805284,-0.00677025,0
0.589386,-0.656499,0,1.06607,0.807031,-0.00707927,0
0.589347,-0.571685,0,1.06486,0.809041,-0.00724437,0
0.589312,-0.494581,0,1.06334,0.811298,-0.00725303,0
0.589279,-0.424487,0,1.06159,0.813706,-0.0070941,0
0.58925,-0.360765,0,1.05961,0.815184,-0.00674501,0
0.612245,-6,0,1.14184,0.8,0,0
0.611995,-5.42945,0,0.967009,0.840506,-0.00691971,0
0.611769,-4.91077,0,1.13295,0.796836,-0.0178416,0
0.611563,-4.43924,0,1.00418,0.801214,0.0033163,0
0.611375,-4.01057,0,1.1038,0.798979,-0.00450576,0
0.611205,-3.62088,0,1.03363,0.795843,0.00172889,0
0.61105,-3.26661,0,1.08397,0.798481,-0.00326201,0
0.610909,-2.94455,0,1.04998,0.796735,-0.000411129,0
0.610781,-2.65177,0,1.07336,0.798278,-0.00255506,0
0.610665,-2.3856,0,1.05848,0.797425,-0.00163494,0
0.610559,-2.14363,0,1.06842,0.798287,-0.00269969,0
0.610463,-1.92366,0,1.06252,0.798217,-0.00262428,0
0.610376,-1.72369,0,1.06633,0.798797,-0.00331226,0
0.610296,-1.54189,0,1.06423,0.799197,-0.00362932,0
0.610224,-1.37662,0,1.06544,0.79984,-0.00420691,0
0.610158,-1.22638,0,1.06466,0.80058,-0.0046747,0
0.610099,-1.08979,0,1.06478,0.801471,-0.00520575,0
0.610044,-0.965626,0,1.06424,0.802561,-0.00567816,0
0.609995,-0.852746,0,1.06377,0.803824,-0.0061112,0
0.60995,-0.750127,0,1.06301,0.805347,-0.00644867,0
0.609909,-0.656838,0,1.06205,0.807068,-0.00666311,0
0.609872,-0.572029,0,1.06087,0.809039,-0.00671457,0
0.609839,-0.49493,0,1.0594,0.811248,-0.00659145,0
0.609808,-0.42484,0,1.05771,0.813593,-0.00628198,0
0.60978,-0.361122,0,1.05578,0.815004,-0.00576753,0
0.632653,-6,0,1.13773,0.8,0,0
0.632416,-5.42949,0,0.963329,0.841161,-0.00692309,0
0.6322,-4.91084,0,1.12877,0.796383,-0.0178938,0
0.632005,-4.43934,0,1.00033,0.800892,0.00322321,0
0.631826,-4.0107,0,1.09954,0.799103,-0.00455362,0
0.631664,-3.62103,0,1.02975,0.795768,0.00168991,0
0.631517,-3.26679,0,1.07978,0.798582,-0.00328926,0
0.631383,-2.94475,0,1.04603,0.796681,-0.000442593,0
0.631262,-2.65198,0,1.06922,0.798341,-0.00255647,0
0.631151,-2.38583,0,1.05447,0.79742,-0.00163566,0
0.631051,-2.14388,0,1.06432,0.798336,-0.00268615,0
0.630959,-1.92392,0,1.05848,0.798243,-0.0026023,0
0.630876,-1.72396,0,1.06225,0.798851,-0.00327408,0
0.630801,-1.54217,0,1.06017,0.799248,-0.00357588,0
0.630732,-1.37692,0,1.06136,0.799905,-0.00413176,0
0.630669,-1.22668,0,1.06059,0.800648,-0.00457305,0
0.630613,-1.09011,0,1.0607,0.801544,-0.00506881,0
0.630561,-0.965945,0,1.06017,0.802633,-0.00549637,0
0.630514,-0.853072,0,1.05972,0.803889,-0.00587194,0
0.630472,-0.75046,0,1.05897,0.805392,-0.0061372,0
0.630433,-0.657176,0,1.05805,0.807082,-0.00626212,0
0.630398,-0.572373,0,1.05691,0.809006,-0.00620589,0
0.630365,-0.495279,0,1.05548,0.81116,-0.00595718,0
0.630336,-0.425194,0,1.05387,0.813432,-0.0055026,0
0.63031,-0.36148,0,1.052,0.814768,-0.0048272,0
