Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
-1.331,-0.476326,0,1,0,0
-1.20786,-0.430976,0,1,0,0
-1.09591,-0.389749,0,1,0,0
-0.994137,-0.35227,0,1,0,0
-0.901618,-0.318198,0,1,0,0
-0.81751,-0.287223,0,1,0,0
-0.741048,-0.259064,0,1,0,0
-0.671537,-0.233465,0,1,0,0
-0.608345,-0.210194,0,1,0,0
-0.550898,-0.189038,0,1,0,0
-0.498673,-0.169805,0,1,0,0
-0.451197,-0.152321,0,1,0,0
-0.408036,-0.136426,0,1,0,0
-0.368799,-0.121976,0,1,0,0
-0.333129,-0.10884,0,1,0,0
-5.76466,-1.66394,0,1,0,0
-5.23832,-1.51078,0,1,0,0
-4.75983,-1.37155,0,1,0,0
-4.32484,-1.24497,0,1,0,0
-3.92939,-1.12989,0,1,0,0
-3.56989,-1.02528,0,1,0,0
-3.24308,-0.930182,0,1,0,0
-2.94597,-0.843727,0,1,0,0
-2.67587,-0.765131,0,1,0,0
-2.43033,-0.69368,0,1,0,0
-2.20711,-0.628725,0,1,0,0
-2.00419,-0.569675,0,1,0,0
-1.81971,-0.515993,0,1,0,0
-1.652,-0.467191,0,1,0,0
-1.49954,-0.422826,0,1,0,0
-1.36093,-0.382494,0,1,0,0
-1.23493,-0.345828,0,1,0,0
-1.12039,-0.312496,0,1,0,0
-1.01625,-0.282194,0,1,0,0
-0.921586,-0.254647,0,1,0,0
-0.835525,-0.229604,0,1,0,0
-0.757288,-0.206837,0,1,0,0
-0.686163,-0.18614,0,1,0,0
-0.621504,-0.167325,0,1,0,0
-0.562724,-0.150221,0,1,0,0
-0.509287,-0.134671,0,1,0,0
-0.460707,-0.120535,0,1,0,0
-0.416545,-0.107684,0,1,0,0
-0.376397,-0.0960008,0,1,0,0
-0.339898,-0.0853801,0,1,0,0
-5.86181,-1.28029,0,1,0,0
-5.32652,-1.16216,0,1,0,0
-4.83989,-1.05477,0,1,0,0
-4.3975,-0.957147,0,1,0,0
-3.99533,-0.868395,0,1,0,0
-3.62972,-0.787711,0,1,0,0
-3.29734,-0.714362,0,1,0,0
-2.99518,-0.647681,0,1,0,0
-2.72049,-0.587062,0,1,0,0
-2.47078,-0.531954,0,1,0,0
-2.24376,-0.481855,0,1,0,0
-2.03738,-0.436312,0,1,0,0
-1.84976,-0.394908,0,1,0,0
-1.6792,-0.357268,0,1,0,0
-1.52415,-0.32305,0,1,0,0
-1.38319,-0.291943,0,1,0,0
-1.25505,-0.263664,0,1,0,0
-1.13855,-0.237956,0,1,0,0
-1.03265,-0.214585,0,1,0,0
-0.936368,-0.193338,0,1,0,0
-0.848844,-0.174023,0,1,0,0
-0.769276,-0.156464,0,1,0,0
-0.696941,-0.140501,0,1,0,0
-0.631183,-0.125989,0,1,0,0
-0.571403,-0.112797,0,1,0,0
-0.517057,-0.100804,0,1,0,0
-0.467651,-0.0899006,0,1,0,0
-0.422737,-0.079989,0,1,0,0
-0.381907,-0.0709783,0,1,0,0
-0.344788,-0.0627869,0,1,0,0
-5.93103,-0.907133,0,1,0,0
-5.38934,-0.823082,0,1,0,0
-4.89689,-0.746673,0,1,0,0
-4.44922,-0.67721,0,1,0,0
-4.04224,-0.614062,0,1,0,0
-3.67226,-0.556654,0,1,0,0
-3.33591,-0.504466,0,1,0,0
-3.03014,-0.457021,0,1,0,0
-2.75217,-0.41389,0,1,0,0
-2.49946,-0.37468,0,1,0,0
-2.26974,-0.339035,0,1,0,0
-2.06089,-0.30663,0,1,0,0
-1.87103,-0.277171,0,1,0,0
-1.69843,-0.25039,0,1,0,0
-1.54152,-0.226043,0,1,0,0
-1.39888,-0.20391,0,1,0,0
-1.2692,-0.183789,0,1,0,0
-1.15132,-0.165497,0,1,0,0
-1.04415,-0.148869,0,1,0,0
-0.946718,-0.133751,0,1,0,0
-0.858148,-0.120008,0,1,0,0
-0.777629,-0.107515,0,1,0,0
-0.70443,-0.0961572,0,1,0,0
-0.637886,-0.0858319,0,1,0,0
-0.577391,-0.0764453,0,1,0,0
-0.522395,-0.0679121,0,1,0,0
-0.4724,-0.0601546,0,1,0,0
-0.426949,-0.0531023,0,1,0,0
-0.38563,-0.0466911,0,1,0,0
-0.348067,-0.0408628,0,1,0,0
-5.97553,-0.541358,0,1,0,0
-5.4297,-0.490716,0,1,0,0
-4.93349,-0.444679,0,1,0,0
-4.4824,-0.402827,0,1,0,0
-4.07231,-0.364779,0,1,0,0
-3.6995,-0.33019,0,1,0,0
-3.36058,-0.298746,0,1,0,0
-3.05248,-0.270161,0,1,0,0
-2.77238,-0.244174,0,1,0,0
-2.51775,-0.220549,0,1,0,0
-2.28627,-0.199072,0,1,0,0
-2.07583,-0.179548,0,1,0,0
-1.88452,-0.161798,0,1,0,0
-1.7106,-0.145663,0,1,0,0
-1.55249,-0.130994,0,1,0,0
-1.40876,-0.117658,0,1,0,0
-1.27809,-0.105535,0,1,0,0
-1.1593,-0.0945141,0,1,0,0
-1.05131,-0.084495,0,1,0,0
-0.953143,-0.0753867,0,1,0,0
-0.863896,-0.0671065,0,1,0,0
-0.782762,-0.059579,0,1,0,0
-0.709004,-0.0527358,0,1,0,0
-0.641951,-0.0465147,0,1,0,0
-0.580994,-0.0408592,0,1,0,0
-0.525579,-0.0357178,0,1,0,0
-0.475201,-0.0310438,0,1,0,0
-0.429403,-0.0267948,0,1,0,0
-0.387769,-0.022932,0,1,0,0
-0.349919,-0.0194203,0,1,0,0
-5.9973,-0.179968,0,1,0,0
-5.44941,-0.16234,0,1,0,0
-4.95133,-0.146314,0,1,0,0
-4.49853,-0.131745,0,1,0,0
-4.0869,-0.1185,0,1,0,0
-3.71268,-0.10646,0,1,0,0
-3.37248,-0.0955142,0,1,0,0
-3.06322,-0.0855635,0,1,0,0
-2.78206,-0.0765174,0,1,0,0
-2.52647,-0.0682936,0,1,0,0
-2.29411,-0.0608175,0,1,0,0
-2.08288,-0.054021,0,1,0,0
-1.89084,-0.0478424,0,1,0,0
-1.71627,-0.0422254,0,1,0,0
-1.55757,-0.0371191,0,1,0,0
-1.41329,-0.032477,0,1,0,0
-1.28213,-0.0282569,0,1,0,0
-1.16289,-0.0244205,0,1,0,0
-1.0545,-0.0209328,0,1,0,0
-0.955955,-0.0177622,0,1,0,0
-0.866371,-0.0148798,0,1,0,0
-0.784931,-0.0122595,0,1,0,0
-0.710894,-0.00987737,0,1,0,0
-0.643588,-0.0077118,0,1,0,0
-0.582401,-0.00574309,0,1,0,0
-0.526776,-0.00395337,0,1,0,0
-0.476208,-0.00232634,0,1,0,0
-0.430238,-0.000847226,0,1,0,0
-0.388446,0.000497424,0,1,0,0
-0.350454,0.00171983,0,1,0,0
-5.9973,0.179968,0,1,0,0
-5.44934,0.164712,0,1,0,0
-4.9512,0.150843,0,1,0,0
-4.49834,0.138234,0,1,0,0
-4.08665,0.126772,0,1,0,0
-3.71238,0.116352,0,1,0,0
-3.37214,0.10688,0,1,0,0
-3.06283,0.0982679,0,1,0,0
-2.78164,0.0904392,0,1,0,0
-2.52602,0.0833222,0,1,0,0
-2.29363,0.0768521,0,1,0,0
-2.08237,0.0709703,0,1,0,0
-1.89031,0.0656231,0,1,0,0
-1.71571,0.0607621,0,1,0,0
-1.55699,0.056343,0,1,0,0
-1.41269,0.0523256,0,1,0,0
-1.28152,0.0486734,0,1,0,0
-1.16227,0.0453532,0,1,0,0
-1.05385,0.0423349,0,1,0,0
-0.9553,0.039591,0,1,0,0
-0.865704,0.0370965,0,1,0,0
-0.784253,0.0348288,0,1,0,0
-0.710207,0.0327673,0,1,0,0
-0.642893,0.0308931,0,1,0,0
-0.581697,0.0291893,0,1,0,0
-0.526066,0.0276405,0,1,0,0
-0.475491,0.0262324,0,1,0,0
-0.429514,0.0249523,0,1,0,0
-0.387717,0.0237886,0,1,0,0
-0.34972,0.0227307,0,1,0,0
-5.97553,0.541358,0,1,0,0
-5.42949,0.49308,0,1,0,0
-4.93308,0.449191,0,1,0,0
-4.48181,0.409293,0,1,0,0
-4.07156,0.373021,0,1,0,0
-3.69861,0.340047,0,1,0,0
-3.35956,0.31007,0,1,0,0
-3.05133,0.282819,0,1,0,0
-2.77113,0.258045,0,1,0,0
-2.51639,0.235523,0,1,0,0
-2.28482,0.215049,0,1,0,0
-2.0743,0.196436,0,1,0,0
-1.88291,0.179515,0,1,0,0
-1.70893,0.164132,0,1,0,0
-1.55076,0.150148,0,1,0,0
-1.40697,0.137435,0,1,0,0
-1.27625,0.125877,0,1,0,0
-1.15741,0.115371,0,1,0,0
-1.04938,0.105819,0,1,0,0
-0.951173,0.0971362,0,1,0,0
-0.86189,0.0892425,0,1,0,0
-0.780725,0.0820663,0,1,0,0
-0.706938,0.0755426,0,1,0,0
-0.639859,0.0696119,0,1,0,0
-0.578878,0.0642203,0,1,0,0
-0.523441,0.0593189,0,1,0,0
-0.473043,0.0548631,0,1,0,0
-0.427227,0.0508124,0,1,0,0
-0.385577,0.0471299,0,1,0,0
-0.347712,0.0437821,0,1,0,0
-5.93103,0.907133,0,1,0,0
-5.38898,0.825429,0,1,0,0
-4.89621,0.751152,0,1,0,0
-4.44824,0.683628,0,1,0,0
-4.04099,0.622242,0,1,0,0
-3.67076,0.566437,0,1,0,0
-3.33419,0.515705,0,1,0,0
-3.02822,0.469586,0,1,0,0
-2.75006,0.427658,0,1,0,0
-2.49719,0.389543,0,1,0,0
-2.26731,0.354892,0,1,0,0
-2.05833,0.323392,0,1,0,0
-1.86834,0.294755,0,1,0,0
-1.69563,0.268721,0,1,0,0
-1.53862,0.245055,0,1,0,0
-1.39588,0.223539,0,1,0,0
-1.26612,0.20398,0,1,0,0
-1.14815,0.186199,0,1,0,0
-1.04091,0.170034,0,1,0,0
-0.943417,0.155339,0,1,0,0
-0.854787,0.14198,0,1,0,0
-0.774215,0.129835,0,1,0,0
-0.700968,0.118794,0,1,0,0
-0.634379,0.108757,0,1,0,0
-0.573844,0.0996325,0,1,0,0
-0.518813,0.0913374,0,1,0,0
-0.468784,0.0837965,0,1,0,0
-0.423303,0.0769411,0,1,0,0
-0.381957,0.0707089,0,1,0,0
-0.344369,0.0650432,0,1,0,0
-5.86181,1.28029,0,1,0,0
-5.32601,1.16448,0,1,0,0
-4.83892,1.0592,0,1,0,0
-4.39612,0.96349,0,1,0,0
-3.99356,0.87648,0,1,0,0
-3.6276,0.79738,0,1,0,0
-3.29492,0.72547,0,1,0,0
-2.99247,0.660098,0,1,0,0
-2.71752,0.600669,0,1,0,0
-2.46757,0.546643,0,1,0,0
-2.24034,0.497528,0,1,0,0
-2.03376,0.452878,0,1,0,0
-1.84597,0.412287,0,1,0,0
-1.67525,0.375386,0,1,0,0
-1.52005,0.34184,0,1,0,0
-1.37895,0.311343,0,1,0,0
-1.25069,0.283619,0,1,0,0
-1.13408,0.258416,0,1,0,0
-1.02808,0.235503,0,1,0,0
-0.931708,0.214674,0,1,0,0
-0.844101,0.195738,0,1,0,0
-0.764458,0.178523,0,1,0,0
-0.692055,0.162874,0,1,0,0
-0.626234,0.148647,0,1,0,0
-0.566397,0.135713,0,1,0,0
-0.512,0.123955,0,1,0,0
-0.462548,0.113267,0,1,0,0
-0.417591,0.10355,0,1,0,0
-0.376722,0.0947157,0,1,0,0
-0.339568,0.0866851,0,1,0,0
-5.76466,1.66394,0,1,0,0
-5.23766,1.51306,0,1,0,0
-4.75857,1.3759,0,1,0,0
-4.32304,1.2512,0,1,0,0
-3.92709,1.13785,0,1,0,0
-3.56715,1.03479,0,1,0,0
-3.23992,0.941107,0,1,0,0
-2.94244,0.855939,0,1,0,0
-2.67201,0.778513,0,1,0,0
-2.42616,0.708126,0,1,0,0
-2.20266,0.644138,0,1,0,0
-1.99948,0.585967,0,1,0,0
